09:44:00.410  [VoiceParticipant] Zber Samolde voice activity debug: Object
09:44:00.410  [VoiceParticipant] Tester2 voice activity debug: Object
09:44:00.410  [VoiceParticipant] Tester2 voice activity debug: Object
09:44:00.411  [CallModal] 🔊 Setting up audio element for participant cmeifn5qp002dkunge64m0xss
09:44:00.412  [CallModal] Stream details: Object
09:44:00.412  [CallModal] Previous audio element for cmeifn5qp002dkunge64m0xss: false
09:44:00.413  [CallModal] Cleared previous srcObject for cmeifn5qp002dkunge64m0xss
09:44:00.413  [CallModal] ✅ Audio playing immediately for participant cmeifn5qp002dkunge64m0xss
09:44:00.480  [VoiceActivity] Effect triggered: Object
09:44:00.480  [VoiceActivity] No stream provided, cleaning up
09:44:00.480  [VoiceActivity] Effect triggered: Object
09:44:00.480  [VoiceActivity] Initializing for stream: d9a77601-b6e5-4ae6-ad6d-5aa5b22c3f01 with 1 audio tracks
09:44:00.481  [VoiceActivity] Effect triggered: Object
09:44:00.481  [VoiceActivity] No stream provided, cleaning up
09:44:00.481  [VoiceActivity] Effect triggered: Object
09:44:00.481  [VoiceActivity] Initializing for stream: d9a77601-b6e5-4ae6-ad6d-5aa5b22c3f01 with 1 audio tracks
09:44:00.481  [CallModal] Rendered - voice call opened
09:44:00.482  [CallModal] Rendered - voice call opened
09:44:00.486  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.486  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.486  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio loadeddata event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio can play for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio canplay event for cmeifn5qp002dkunge64m0xss
09:44:00.487  [CallModal] Audio canplay event for cmeifn5qp002dkunge64m0xss
